Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
prokinetics-tecido-fibra-de-carbono-200-g-m2-larg-100-cm-metro2-34600-ipi,"Tecido fibra de CARBONO 200 g/m², larg. 100 cm (metro²) 346,00 IPI*","<p>Tecido fibra de CARBONO 200 g/m², larg. 100 cm (metro²) 346,00 IPI* — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Código,9N20-100,9N20-100,shopify,0,deny,manual,850.00,TRUE,TRUE,,"Tecido fibra de CARBONO 200 g/m², larg. 100 cm (metro²) 346,00 IPI*",active
prokinetics-tecido-fibra-de-carbono-200-g-m2-larg-100-cm-metro2-34600-ipi,,,,,,,,Código,9N24-100,9N24-100,shopify,0,deny,manual,850.00,TRUE,TRUE,,,
prokinetics-placa-rigida-clear-40-x-40-cm-un-27000-ipi,"Placa RÍGIDA CLEAR , 40 x 40 cm (un) 270,00 IPI*","<p>Placa RÍGIDA CLEAR , 40 x 40 cm (un) 270,00 IPI* — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Espessura,10 mm,9T52-10B,shopify,0,deny,manual,,TRUE,TRUE,,"Placa RÍGIDA CLEAR , 40 x 40 cm (un) 270,00 IPI*",draft
prokinetics-placa-rigida-clear-40-x-40-cm-un-27000-ipi,,,,,,,,Espessura,12 mm,9T52-12B,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-placa-rigida-clear-40-x-40-cm-un-27000-ipi,,,,,,,,Espessura,15 mm,9T52-15B,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-placa-rigida-clear-40-x-40-cm-un-27000-ipi,,,,,,,,Espessura,20 mm,9T52-20B,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-placa-flexivel-black-super-soft-40-x-40-cm-un-39600-ipi,"Placa FLEXÍVEL BLACK, super-soft , 40 x 40 cm (un) 396,00 IPI*","<p>Placa FLEXÍVEL BLACK, super-soft , 40 x 40 cm (un) 396,00 IPI* — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Espessura,10 mm,9T60-10,shopify,0,deny,manual,,TRUE,TRUE,,"Placa FLEXÍVEL BLACK, super-soft , 40 x 40 cm (un) 396,00 IPI*",draft
prokinetics-placa-flexivel-black-super-soft-40-x-40-cm-un-39600-ipi,,,,,,,,Espessura,12 mm,9T60-12,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-placa-flexivel-black-super-soft-40-x-40-cm-un-39600-ipi,,,,,,,,Espessura,15 mm,9T60-15,shopify,0,deny,manual,,TRUE,TRUE,,,
willowwood-pequeno-1-s350-6593-1,Pequeno 1 S350-6593-1,<p>Pequeno 1 S350-6593-1 — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>,WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,S352-6593-1,S352-6593-1,shopify,0,deny,manual,,TRUE,TRUE,,Pequeno 1 S350-6593-1,draft
